peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
90.34,1.75,V,43,0,0,1,3,0,3,N,1,2,1
55.76,1.76,V,63,130,0,3,0,0,0,S,2,3,4
91.88,1.75,V,26,0,8,1,0,0,0,N,1,3,2
97.27,1.66,M,33,0,0,0,15,4,0,N,1,0,0
55.76,1.76,V,41,40,0,8,0,0,0,N,2,2,2
76.8,1.6,M,29,0,0,4,5,0,0,N,2,3,4
52.63,1.71,M,48,170,0,0,26,20,0,N,3,3,3
91.43,1.74,V,49,0,10,0,7,5,0,N,2,2,2
81.15,1.6,M,66,0,14,0,0,3,0,N,0,1,0
89.62,1.74,V,18,0,5,0,4,1,0,N,0,0,1
62.72,1.62,M,28,0,0,0,0,3,0,N,0,0,0
78.41,1.74,V,52,0,3,0,12,13,0,N,1,1,1
50.8,1.68,M,68,50,0,4,0,1,0,N,0,2,3
73.33,1.63,M,39,0,0,2,0,0,0,N,2,2,2
55.76,1.76,V,31,0,3,0,0,8,0,S,1,2,3
120.4,1.78,V,29,0,3,2,12,3,0,N,0,0,0
72.37,1.77,V,55,0,0,0,1,4,0,N,0,1,0
58.32,1.8,V,51,50,2,3,2,1,0,N,0,0,0
50.8,1.68,M,32,40,4,0,0,1,3,N,1,2,3
49.6,1.66,M,66,30,0,5,2,5,0,N,1,1,0
68.77,1.76,V,70,0,0,2,0,3,0,N,2,4,4
82.83,1.69,M,35,0,3,2,6,0,0,S,1,4,4
46.66,1.61,M,30,40,0,0,38,26,0,N,0,0,0
99.84,1.6,M,67,0,17,0,18,15,0,N,2,1,0
58.32,1.8,V,81,60,0,2,3,8,0,N,1,3,3
59.16,1.76,V,36,0,0,0,0,4,0,N,2,3,3
81.47,1.76,V,40,0,0,0,8,5,0,N,1,2,2
54.5,1.74,M,73,70,0,4,7,4,0,N,2,3,4
59.62,1.82,V,36,20,0,0,0,0,8,S,2,3,1
111.13,1.8,V,38,0,0,4,9,6,0,N,0,1,0
80.83,1.69,V,45,0,2,5,7,12,0,S,1,4,2
82.48,1.85,V,23,0,3,2,0,1,0,N,2,4,4
49.42,1.63,M,18,20,0,0,8,0,0,N,1,1,2
68.02,1.63,M,54,0,0,3,6,13,0,N,2,2,0
108.98,1.82,V,45,0,0,4,11,7,0,N,0,2,3
81.95,1.65,M,52,0,0,2,5,0,0,N,1,1,2
92.83,1.78,V,22,0,0,0,14,4,0,N,0,1,2
77.2,1.74,V,36,0,0,2,0,2,0,N,2,3,2
57.86,1.68,M,34,0,0,0,5,6,0,N,0,3,3
85.9,1.67,M,18,0,6,3,2,0,0,N,1,3,3
108.86,1.8,V,48,0,20,0,0,0,0,S,2,4,3
90.11,1.66,M,52,0,0,0,32,22,3,N,2,4,2
44.37,1.57,M,34,40,6,0,0,0,0,N,1,2,3
78.99,1.72,V,39,0,14,0,7,10,0,N,3,3,3
120.81,1.76,V,38,0,6,4,16,7,0,N,1,3,2
91.07,1.76,V,51,10,0,7,1,0,0,N,0,2,2
49.6,1.66,M,41,150,0,1,2,8,0,N,0,1,1
56.39,1.77,V,18,90,4,0,4,3,0,N,3,4,4
49.6,1.66,M,30,30,4,0,15,10,5,N,1,3,3
43.8,1.56,M,42,50,11,1,11,4,0,N,4,3,3
96.47,1.75,V,25,0,0,4,0,0,0,N,1,1,1
70.44,1.75,V,30,0,0,0,0,0,0,N,2,4,3
103.47,1.67,M,52,0,22,0,6,1,0,N,1,3,4
98.54,1.71,V,48,0,0,5,0,0,1,N,1,2,1
52.63,1.71,V,18,150,0,0,9,9,0,N,1,1,2
55.12,1.75,V,31,60,13,3,13,14,3,N,3,4,4
87.09,1.73,V,40,0,23,0,4,10,0,N,1,3,4
55.12,1.75,V,42,0,0,0,1,12,0,N,2,3,4
95.1,1.67,M,47,0,0,5,0,0,0,N,0,0,0
91.48,1.77,V,39,0,0,2,5,0,0,N,2,2,2
85.62,1.67,M,63,0,0,3,0,2,0,N,1,2,0
79.14,1.58,M,32,0,1,0,12,3,1,N,1,0,1
57.59,1.66,V,49,0,0,1,0,0,0,N,3,4,4
67.39,1.61,M,30,0,0,0,11,8,0,N,1,3,2
81.15,1.6,M,18,0,0,6,3,0,0,N,1,4,4
110.98,1.7,M,30,0,16,4,0,0,3,N,1,2,2
71.55,1.76,V,25,0,1,0,6,11,0,N,0,2,0
79.06,1.61,M,24,0,2,0,19,10,0,N,0,1,2
53.83,1.67,M,32,0,0,1,0,2,0,N,3,4,4
90.36,1.79,V,41,0,0,6,0,0,0,N,2,4,4
94.1,1.78,V,44,20,18,3,12,9,0,N,2,4,4
53.25,1.72,M,57,80,3,0,5,5,4,N,1,2,1
85.8,1.76,V,33,0,0,4,3,0,2,S,3,4,4
100.57,1.77,V,18,0,11,0,7,7,0,N,0,0,0
67.15,1.58,M,21,0,0,1,8,0,0,N,1,4,4
101.24,1.67,M,46,0,15,1,6,3,0,N,1,1,1
73.39,1.71,M,29,0,0,1,17,11,3,N,2,4,4
73.94,1.77,V,40,0,0,0,2,0,0,N,3,3,2
55.76,1.76,V,45,50,4,2,2,2,0,N,1,3,3
91.11,1.69,V,45,0,11,3,0,0,0,N,3,4,4
51.41,1.69,V,67,20,0,3,6,14,0,N,2,2,1
78.74,1.68,M,49,0,11,2,0,6,0,N,1,2,2
70.93,1.73,V,27,30,0,5,21,9,0,N,2,3,3
112.72,1.72,V,46,0,14,0,20,12,0,N,0,0,0
81.53,1.56,M,53,0,0,5,4,1,0,N,1,1,2
101.83,1.62,M,36,0,3,4,19,7,0,N,2,4,3
89.98,1.78,V,61,0,5,0,11,3,0,N,2,3,4
74.56,1.7,M,20,0,0,2,0,0,0,N,3,4,3
57.03,1.78,V,24,10,0,2,0,0,0,N,3,4,4
78.37,1.67,V,41,0,13,0,0,2,2,N,0,2,3
53.25,1.72,V,41,70,0,2,0,3,0,N,2,4,3
57.67,1.58,M,27,0,5,0,6,7,0,N,1,3,4
56.39,1.77,V,19,0,0,0,0,7,0,N,1,2,2
75.27,1.76,V,50,0,2,0,6,4,0,N,1,4,4
77.85,1.63,M,43,0,5,1,2,0,0,N,1,1,2
129.6,1.8,V,41,0,16,2,15,7,0,N,3,3,2
50.8,1.68,M,63,180,0,0,0,0,0,N,1,4,4
81.13,1.61,M,19,0,6,4,2,3,0,N,2,2,2
74.14,1.78,V,42,0,14,0,0,7,0,N,3,3,4
45.51,1.59,M,29,0,0,0,0,7,0,N,1,2,2
47.87,1.6,M,19,0,0,0,0,1,0,N,1,3,4
57.03,1.78,V,24,60,0,3,11,1,0,N,0,2,1
47.24,1.62,M,22,60,0,6,14,8,0,N,0,2,2
61.99,1.71,V,28,0,0,0,0,0,0,N,4,4,2
79.32,1.74,M,33,0,0,1,8,4,0,N,2,3,2
92.16,1.6,M,25,0,24,3,0,8,0,N,0,0,0
86.25,1.69,M,27,0,0,5,0,0,0,N,1,2,3
108.54,1.8,V,38,0,15,4,6,10,0,N,2,3,2
88.76,1.64,M,36,10,0,7,8,1,0,N,1,2,3
61.69,1.69,V,32,0,0,0,10,10,0,N,0,1,2
49,1.65,M,32,40,0,8,0,1,0,N,0,2,3
92.99,1.63,M,52,0,0,0,24,10,0,N,1,2,1
76.62,1.72,V,41,10,18,0,0,0,0,N,3,3,3
47.24,1.62,M,19,60,0,2,0,3,0,N,0,0,1
70.03,1.73,V,32,10,11,0,0,0,0,N,1,3,4
52.02,1.7,M,50,120,0,0,13,4,0,N,0,0,1
65.79,1.77,V,47,10,0,1,11,8,0,N,2,2,2
103.68,1.61,M,62,0,9,0,19,4,0,N,0,2,2
56.8,1.72,V,33,0,0,2,7,14,4,N,2,3,3
74.56,1.7,V,66,0,0,0,13,10,0,N,1,1,2
98.6,1.57,M,18,0,4,0,23,1,0,N,1,4,2
85.62,1.67,M,58,0,0,1,16,5,0,N,1,2,3
87.97,1.69,M,39,0,2,5,0,3,2,N,2,1,0
119.05,1.77,V,19,0,0,8,4,0,0,N,2,2,2
91.2,1.67,M,46,0,8,1,11,5,0,N,0,1,3
115.6,1.7,V,51,0,7,3,18,4,0,N,3,3,1
82.69,1.6,M,48,0,19,0,3,5,0,N,1,2,3
112.9,1.68,M,18,0,21,7,0,0,0,N,1,2,2
68.75,1.78,V,43,0,0,0,0,0,0,N,2,3,4
130.94,1.83,V,46,0,10,1,14,0,0,N,3,4,3
82.17,1.61,M,49,0,0,0,23,10,5,N,1,4,4
101.24,1.67,M,42,0,0,2,27,10,0,N,4,4,4
63.23,1.63,M,39,0,0,0,0,5,0,N,0,1,0
50.8,1.68,M,46,90,0,0,15,3,0,N,1,1,1
115.11,1.84,V,39,0,3,0,13,1,0,N,0,1,1
76.92,1.73,V,25,20,9,4,6,0,0,N,1,3,4
52.02,1.7,V,29,60,0,0,0,0,0,N,4,4,4
114.61,1.76,V,66,0,19,0,21,14,0,N,3,4,4
90.03,1.68,V,44,0,2,3,5,0,0,N,1,3,2
74.93,1.57,M,18,0,0,5,0,0,0,N,2,4,4
63.71,1.65,M,18,0,0,1,3,5,0,N,2,4,3
78.61,1.56,M,34,0,1,0,24,11,0,N,3,2,2
85.79,1.72,V,41,0,1,1,9,5,0,N,1,2,1
94.55,1.68,M,27,0,10,0,6,0,0,N,0,1,1
65.97,1.72,V,39,30,4,1,24,11,0,N,0,1,1
100.14,1.75,V,48,0,7,0,3,0,0,N,1,1,0
55.12,1.75,V,29,60,0,0,22,7,0,N,1,1,1
49,1.65,M,18,60,0,0,17,4,0,N,0,0,1
43.8,1.56,M,45,170,12,2,0,1,1,N,0,0,1
83.65,1.78,V,43,0,0,3,0,0,2,S,2,2,4
57.03,1.78,V,44,190,12,0,8,3,0,N,1,3,3
98.37,1.66,V,40,0,19,1,0,0,0,N,2,3,3
60.91,1.58,M,54,0,0,2,0,7,0,N,0,0,0
74.34,1.76,V,30,0,6,4,0,9,0,N,2,3,3
93.43,1.67,M,45,0,3,0,19,7,0,N,0,0,1
48.41,1.64,V,30,220,0,1,4,8,0,N,2,2,3
123.9,1.76,V,32,0,0,7,19,6,0,N,3,1,2
51.41,1.69,M,59,150,8,1,0,6,0,N,0,0,1
87.07,1.83,V,34,0,6,0,0,0,0,N,2,2,3
67.05,1.7,M,39,0,0,3,4,8,0,N,3,2,3
80.57,1.62,M,56,0,7,3,0,6,0,N,1,2,1
48.41,1.64,M,67,30,0,0,13,6,0,N,0,3,4
65.04,1.79,V,52,0,0,1,0,7,0,N,0,2,2
50.8,1.68,M,32,90,0,3,5,3,0,N,2,4,4
80.84,1.74,V,45,0,0,4,0,3,0,N,2,3,2
90.1,1.82,V,53,0,0,6,0,3,0,N,1,2,3
47.24,1.62,M,47,30,3,6,5,3,7,N,1,3,3
74.6,1.65,V,48,0,5,0,0,1,0,N,0,0,0
78.71,1.73,V,18,0,0,1,1,0,0,N,0,1,1
76.89,1.62,M,48,0,1,3,0,2,0,N,0,0,0
48.14,1.54,M,54,10,9,0,3,7,0,N,3,4,3
60.94,1.84,V,52,90,0,5,1,2,0,N,0,0,1
120.5,1.74,V,42,0,9,0,23,6,0,N,2,3,2
52.02,1.7,M,42,50,0,9,0,2,8,N,0,0,2
90.64,1.64,V,51,0,0,1,17,5,NA,N,1,2,2
101.77,1.72,V,49,0,0,8,0,0,0,N,2,4,4
46.08,1.6,M,26,140,0,4,0,1,0,N,0,1,3
81.59,1.84,V,34,0,0,0,4,6,0,N,0,2,0
57.59,1.66,M,42,30,0,0,31,15,0,N,0,1,2
69.14,1.73,V,26,0,0,0,0,4,0,N,0,2,0
50.8,1.68,V,48,70,0,6,0,11,0,N,3,4,4
94.8,1.59,M,18,0,5,4,8,2,0,N,1,2,1
98.22,1.68,V,18,0,10,2,8,0,0,N,3,3,4
54.5,1.74,V,38,160,0,4,0,0,0,N,0,0,0
106.16,1.83,V,18,0,1,6,0,0,1,N,1,2,2
81.15,1.6,M,63,0,5,0,17,10,0,N,1,1,2
94.24,1.66,M,46,0,0,5,1,0,3,N,2,2,1
125.32,1.77,V,38,0,13,6,0,0,0,N,1,1,1
65.25,1.73,V,20,0,0,2,0,3,0,N,2,3,3
83.46,1.6,M,64,0,18,1,0,0,0,N,1,3,4
81.29,1.71,V,58,0,11,0,0,1,0,N,2,4,4
60.62,1.82,V,56,0,0,0,11,14,0,N,1,3,4
123.04,1.79,V,69,0,17,0,13,4,0,N,1,2,2
74.05,1.65,M,47,0,0,3,0,6,7,N,0,1,0
58.32,1.8,V,67,80,18,5,0,2,0,S,2,4,3
53.87,1.73,M,55,40,0,0,4,4,0,N,1,2,3
100.36,1.76,V,57,0,0,3,4,0,0,N,1,1,0
69.43,1.68,M,27,0,3,0,0,0,0,N,1,2,2
73.97,1.69,M,22,0,1,3,0,0,0,N,1,3,3
66.93,1.67,M,46,0,0,0,0,1,0,N,2,2,1
95.38,1.67,V,48,0,0,3,22,10,0,N,1,3,4
85.03,1.62,M,47,30,19,0,14,3,0,N,0,0,0
60.05,1.63,M,45,0,0,0,0,0,0,N,1,1,1
94.74,1.62,M,37,0,0,0,20,5,0,N,2,2,1
106.28,1.63,M,62,0,11,7,0,0,3,N,0,1,1
98.98,1.64,M,18,0,21,0,0,0,0,N,1,2,1
92.82,1.69,V,48,0,0,3,6,0,0,N,0,2,2
75.82,1.77,V,36,0,0,0,11,11,0,N,0,0,1
71.37,1.66,M,28,0,0,1,12,13,0,N,1,2,1
114.24,1.69,V,30,0,19,4,0,0,0,N,1,2,1
98.54,1.69,V,47,0,0,4,7,3,0,N,1,1,0
76.77,1.68,M,18,0,0,1,5,0,1,N,2,3,3
48.41,1.64,M,73,30,3,1,11,3,0,N,2,4,4
71.69,1.68,V,46,0,6,0,3,0,0,N,2,4,4
46.08,1.6,M,18,170,10,1,27,12,3,N,1,2,2
51.41,1.69,V,20,40,5,2,0,11,0,N,1,3,3
93.55,1.76,V,46,0,19,0,2,9,0,N,0,0,0
50.2,1.67,M,43,60,3,0,7,9,0,N,1,2,2
60.94,1.84,V,56,80,1,3,8,4,0,N,2,2,3
78.27,1.64,M,24,0,10,0,0,0,0,N,2,4,3
